Results
Filename spectrum1 spectrum2 spectrum3 spectrum4 spectrum5 spectrum6 spectrum7 spectrum8 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/699.mtx 4:23 6:75 8:568 10:3477 12:23304 14:160047 16:1135503 18:8144383 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/370.mtx 4:19 6:101 8:571 10:3814 12:25824 14:181770 16:1309333 18:9566422 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/990.mtx 4:19 6:134 8:837 10:5870 12:44166 14:338052 16:2656142 18:21239174 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/964.mtx 4:23 6:75 8:551 10:3031 12:20618 14:138964 16:965072 18:6792830 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/930.mtx 4:22 6:154 8:863 10:6229 12:48166 14:375760 16:3000790 18:24324274 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/744.mtx 4:18 6:104 8:573 10:3600 12:24506 14:171773 16:1227024 18:8890694 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/498.mtx 4:23 6:96 8:678 10:4450 12:31527 14:227715 16:1694446 18:12793619 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/786.mtx 4:29 6:126 8:896 10:6522 12:50403 14:393687 16:3164627 18:25828829 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/848.mtx 4:20 6:116 8:830 10:5354 12:39767 14:301802 16:2328746 18:18304486 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/399.mtx 4:22 6:104 8:724 10:4780 12:34410 14:252347 16:1906693 18:14612002 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/045.mtx 4:26 6:110 8:908 10:6085 12:46021 14:354756 16:2820510 18:22662057 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/559.mtx 4:24 6:117 8:790 10:5351 12:40345 14:302400 16:2346143 18:18420871 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/735.mtx 4:14 6:111 8:633 10:4065 12:28106 14:200859 16:1464637 18:10864191 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/944.mtx 4:23 6:143 8:1059 10:7527 12:59913 14:481197 16:3992313 18:33532090 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/258.mtx 4:22 6:165 8:1196 10:8606 12:71505 14:590228 16:5047032 18:43607745 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/700.mtx 4:26 6:146 8:892 10:6492 12:49591 14:391135 16:3143904 18:25629272 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/003.mtx 4:16 6:83 8:497 10:2931 12:19188 14:127323 16:874302 18:6074122 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/186.mtx 4:25 6:121 8:784 10:5320 12:40255 14:302195 16:2342151 18:18409306 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/628.mtx 4:26 6:163 8:1142 10:8797 12:71370 14:594413 16:5060317 18:43837496 
