Results
Filename spectrum1 spectrum2 spectrum3 spectrum4 spectrum5 spectrum6 spectrum7 spectrum8 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/744.mtx 4:34 6:127 8:1464 10:9368 12:86154 14:703270 16:6300247 18:55331091 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/498.mtx 4:42 6:127 8:1416 10:9412 12:86070 14:702130 16:6300553 18:55342403 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/786.mtx 4:38 6:113 8:1476 10:9364 12:86195 14:703280 16:6299544 18:55337265 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/848.mtx 4:45 6:116 8:1420 10:9440 12:85925 14:703056 16:6299536 18:55336976 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/399.mtx 4:50 6:136 8:1541 10:9412 12:86712 14:704080 16:6308302 18:55346984 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/045.mtx 4:46 6:115 8:1424 10:9364 12:86444 14:701706 16:6298008 18:55348887 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/559.mtx 4:44 6:137 8:1455 10:9310 12:86039 14:702786 16:6296371 18:55334365 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/735.mtx 4:41 6:132 8:1444 10:9316 12:85911 14:703000 16:6299245 18:55336540 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/944.mtx 4:38 6:127 8:1434 10:9424 12:86078 14:701926 16:6301941 18:55345883 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/258.mtx 4:35 6:139 8:1488 10:9209 12:85678 14:703578 16:6302416 18:55339372 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/700.mtx 4:30 6:132 8:1487 10:9368 12:86196 14:702516 16:6298772 18:55333344 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/003.mtx 4:44 6:109 8:1407 10:9578 12:85933 14:702222 16:6303603 18:55338033 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/186.mtx 4:42 6:108 8:1411 10:9552 12:86296 14:703012 16:6298407 18:55330368 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/628.mtx 4:43 6:106 8:1453 10:9390 12:86098 14:704118 16:6296582 18:55342674 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/996.mtx 4:37 6:131 8:1443 10:9323 12:86108 14:702996 16:6301866 18:55340258 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/840.mtx 4:45 6:137 8:1433 10:9337 12:86153 14:702382 16:6296861 18:55337494 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/588.mtx 4:31 6:129 8:1484 10:9407 12:86087 14:702304 16:6300663 18:55334984 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/352.mtx 4:33 6:132 8:1476 10:9340 12:85889 14:702916 16:6303937 18:55335764 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/890.mtx 4:39 6:132 8:1433 10:9340 12:86019 14:702780 16:6301727 18:55336468 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/522.mtx 4:43 6:138 8:1413 10:9318 12:86190 14:702594 16:6298034 18:55332506 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/033.mtx 4:42 6:122 8:1439 10:9316 12:86253 14:702790 16:6297691 18:55348960 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/715.mtx 4:42 6:117 8:1410 10:9492 12:86093 14:702708 16:6301148 18:55333933 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/492.mtx 4:39 6:114 8:1451 10:9434 12:86130 14:703330 16:6299208 18:55333286 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/390.mtx 4:31 6:124 8:1497 10:9476 12:85841 14:702036 16:6302175 18:55333436 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/931.mtx 4:36 6:120 8:1466 10:9440 12:85838 14:703372 16:6302581 18:55326808 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/083.mtx 4:36 6:121 8:1475 10:9330 12:85979 14:704754 16:6298827 18:55322229 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/695.mtx 4:38 6:129 8:1418 10:9400 12:86315 14:702252 16:6301021 18:55339505 
