Results
Filename SNR Time(ms) BER% FER%
../gentests/ComparableTest/b5_10_0000_02.mtx 2 57.3438 1.82211 22 
../gentests/ComparableTest/b5_10_0000_02.mtx 2.1 60.7926 1.48333 19 
../gentests/ComparableTest/b5_10_0000_02.mtx 2.2 63.2593 1.15038 15 
../gentests/ComparableTest/b5_10_0000_02.mtx 2.3 71.1847 0.926316 11.7778 
../gentests/ComparableTest/b5_10_0000_02.mtx 2.4 79.2828 0.661244 9.54545 
../gentests/ComparableTest/b5_10_0000_02.mtx 2.5 85.0317 0.614575 7.76923 
../gentests/ComparableTest/b5_10_0000_02.mtx 2.6 93.2819 0.446711 6.4375 
../gentests/ComparableTest/b5_10_0000_02.mtx 2.7 106.511 0.362327 5.36842 
../gentests/ComparableTest/b5_10_0000_02.mtx 2.8 116.586 0.314416 4.34783 
../gentests/ComparableTest/b5_10_0000_02.mtx 2.9 135.32 0.249002 3.58621 
../gentests/ComparableTest/b5_10_0000_02.mtx 3 155.819 0.159649 2.80556 
../gentests/ComparableTest/b5_10_0000_02.mtx 3.1 171.435 0.131579 2.56098 
../gentests/ComparableTest/b5_10_0000_02.mtx 3.2 201.618 0.0955789 2 
../gentests/ComparableTest/b5_10_0000_02.mtx 3.3 216.981 0.0871543 1.69492 
../gentests/ComparableTest/b5_10_0000_02.mtx 3.4 262.498 0.0563428 1.30769 
../gentests/ComparableTest/b5_10_0000_02.mtx 3.5 298.611 0.0436788 1.03093 
../gentests/ComparableTest/b5_10_0000_02.mtx 3.6 366.852 0.0318182 0.765152 
../gentests/ComparableTest/b5_10_0000_02.mtx 3.7 379.872 0.0253358 0.689655 
../gentests/ComparableTest/b5_10_0000_02.mtx 3.8 387.82 0.0235197 0.63125 
../gentests/ComparableTest/b5_10_0000_02.mtx 3.9 411.034 0.0198159 0.546448 
../gentests/ComparableTest/b5_10_0000_02.mtx 4 427.962 0.0172673 0.492611 
../gentests/ComparableTest/b5_10_0000_02.mtx 4.1 528.448 0.00830245 0.352113 
../gentests/ComparableTest/b5_10_0000_02.mtx 4.2 539.522 0.00760234 0.31746 
../gentests/ComparableTest/b5_10_0000_02.mtx 4.3 578.529 0.00611786 0.2849 
../gentests/ComparableTest/b5_10_0000_02.mtx 4.4 623.938 0.00501012 0.242788 
../gentests/ComparableTest/b5_10_0000_02.mtx 4.5 649.66 0.00389496 0.209644 
../gentests/ComparableTest/b5_10_0000_02.mtx 4.6 667.167 0.00402834 0.192308 
../gentests/ComparableTest/b5_10_0000_02.mtx 4.7 752.922 0.00271833 0.156986 
../gentests/ComparableTest/b5_10_0000_02.mtx 4.8 795.357 0.00251967 0.137174 
